region;peat_type;tree_type;year;basal_area
north;6;pine;2004;7.08075419704445
north;6;spruce;2004;0.171453229005595
north;6;deciduous;2004;0.815820593345113
north;7;pine;2004;3.20000095511593
north;7;spruce;2004;0.0365072654568002
north;7;deciduous;2004;0.203700572047077
south;1;pine;2005;2.7915150441348
south;1;spruce;2005;7.60530873526216
south;1;deciduous;2005;8.79071813531968
south;2;pine;2005;6.61331272600562
south;2;spruce;2005;7.37482312430073
south;2;deciduous;2005;6.06198026535502
south;4;pine;2005;11.9592190856392
south;4;spruce;2005;1.39345543826096
south;4;deciduous;2005;3.44540418297314
south;6;pine;2005;10.680690148241
south;6;spruce;2005;0.168083020971243
south;6;deciduous;2005;0.901296731777607
south;7;pine;2005;4.85513130416899
south;7;spruce;2005;0
south;7;deciduous;2005;0.272024611619256
north;1;pine;2005;2.48015010003992
north;1;spruce;2005;3.81782846673026
north;1;deciduous;2005;9.65287164758622
north;2;pine;2005;5.74026833629163
north;2;spruce;2005;4.46135429185618
north;2;deciduous;2005;6.55469989291195
north;4;pine;2005;9.02962895862137
north;4;spruce;2005;1.07457649461054
north;4;deciduous;2005;2.55632891069698
north;6;pine;2005;7.36659631442892
north;6;spruce;2005;0.198474249843189
north;6;deciduous;2005;0.843207389635879
north;7;pine;2005;3.47941161585925
north;7;spruce;2005;0.0547608981852002
north;7;deciduous;2005;0.305550858070616
south;1;pine;2006;2.8796502824329
south;1;spruce;2006;7.50834287069904
south;1;deciduous;2006;8.87575338587162
south;2;pine;2006;6.70888418429373
south;2;spruce;2006;7.39382276591112
south;2;deciduous;2006;6.04951003687267
south;4;pine;2006;12.1295067494964
south;4;spruce;2006;1.38492892020698
south;4;deciduous;2006;3.4288436394435
south;6;pine;2006;10.880375520139
south;6;spruce;2006;0.178334125603273
south;6;deciduous;2006;0.917488151071996
south;7;pine;2006;4.92686439821969
south;7;spruce;2006;0
south;7;deciduous;2006;0.304725241580947
north;1;pine;2006;2.70788705941569
north;1;spruce;2006;3.89183896957111
north;1;deciduous;2006;9.47952077819096
north;2;pine;2006;5.77522352580882
north;2;spruce;2006;4.56128455197987
north;2;deciduous;2006;6.52863886621993
north;4;pine;2006;9.20376984865011
north;4;spruce;2006;1.11380538525544
north;4;deciduous;2006;2.56182306605109
north;6;pine;2006;7.65243843181338
north;6;spruce;2006;0.225495270680784
north;6;deciduous;2006;0.870594185926646
north;7;pine;2006;3.75882227660257
north;7;spruce;2006;0.0730145309136003
north;7;deciduous;2006;0.407401144094154
south;1;pine;2007;2.85982831657714
south;1;spruce;2007;7.63588954262956
south;1;deciduous;2007;8.81923368008764
south;2;pine;2007;6.68411553634726
south;2;spruce;2007;7.48891676041999
south;2;deciduous;2007;6.04322521901027
south;4;pine;2007;12.2756752898511
south;4;spruce;2007;1.45657278244922
south;4;deciduous;2007;3.414182386314
south;6;pine;2007;11.0140652877503
south;6;spruce;2007;0.17706922791821
south;6;deciduous;2007;0.920187169067924
south;7;pine;2007;5.27162509835703
south;7;spruce;2007;0.00336837226453975
south;7;deciduous;2007;0.321516995698433
north;1;pine;2007;2.93562401879145
north;1;spruce;2007;3.96584947241196
north;1;deciduous;2007;9.30616990879569
north;2;pine;2007;5.81017871532602
north;2;spruce;2007;4.66121481210357
north;2;deciduous;2007;6.50257783952791
north;4;pine;2007;9.27585298681008
north;4;spruce;2007;1.14648889852447
north;4;deciduous;2007;2.61922943631444
